Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 10, 'n_head': 5, 'n_kv_head': 5, 'n_embd': 640, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 5,242,880
  value_embeds            : 26,214,400
  lm_head                 : 5,242,880
  transformer_matrices    : 49,152,800
  scalars                 : 20
  total                   : 85,852,980
Estimated FLOPs per token: 4.286102e+08
Scaling AdamW LRs by 1/sqrt(640/768) = 1.095445
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.010611 | lrm: 1.00 | dt: 18233ms | tok/sec: 14,377 | mfu: 0.6% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.201816 | lrm: 1.00 | dt: 689ms | tok/sec: 380,265 | mfu: 16.5% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.082382 | lrm: 1.00 | dt: 861ms | tok/sec: 304,530 | mfu: 13.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.759493 | lrm: 1.00 | dt: 741ms | tok/sec: 353,950 | mfu: 15.3% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.433277 | lrm: 1.00 | dt: 739ms | tok/sec: 354,685 | mfu: 15.4% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.107481 | lrm: 1.00 | dt: 778ms | tok/sec: 337,100 | mfu: 14.6% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.818863 | lrm: 1.00 | dt: 727ms | tok/sec: 360,697 | mfu: 15.6% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.568696 | lrm: 1.00 | dt: 920ms | tok/sec: 284,931 | mfu: 12.3% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.341653 | lrm: 1.00 | dt: 770ms | tok/sec: 340,485 | mfu: 14.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.135399 | lrm: 1.00 | dt: 864ms | tok/sec: 303,267 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.964889 | lrm: 1.00 | dt: 817ms | tok/sec: 320,784 | mfu: 13.9% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.805568 | lrm: 1.00 | dt: 853ms | tok/sec: 307,140 | mfu: 13.3% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.659684 | lrm: 1.00 | dt: 749ms | tok/sec: 349,850 | mfu: 15.2% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 6.540987 | lrm: 1.00 | dt: 838ms | tok/sec: 312,800 | mfu: 13.5% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 6.431485 | lrm: 1.00 | dt: 810ms | tok/sec: 323,511 | mfu: 14.0% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 6.332382 | lrm: 1.00 | dt: 725ms | tok/sec: 361,361 | mfu: 15.7% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 6.250360 | lrm: 1.00 | dt: 941ms | tok/sec: 278,460 | mfu: 12.1% | epoch: 1 | remaining: 295s    
step 00017 (1.6%) | loss: 6.170350 | lrm: 1.00 | dt: 807ms | tok/sec: 324,782 | mfu: 14.1% | epoch: 1 | remaining: 294s    
step 00018 (1.9%) | loss: 6.091492 | lrm: 1.00 | dt: 896ms | tok/sec: 292,686 | mfu: 12.7% | epoch: 1 | remaining: 293s    
step 00019 (2.2%) | loss: 6.020957 | lrm: 1.00 | dt: 913ms | tok/sec: 287,042 | mfu: 12.4% | epoch: 1 | remaining: 292s    
step 00020 (2.5%) | loss: 5.959497 | lrm: 1.00 | dt: 808ms | tok/sec: 324,520 | mfu: 14.1% | epoch: 1 | remaining: 292s    
step 00021 (2.8%) | loss: 5.899013 | lrm: 1.00 | dt: 813ms | tok/sec: 322,409 | mfu: 14.0% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 5.848451 | lrm: 1.00 | dt: 927ms | tok/sec: 282,816 | mfu: 12.3% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 5.799739 | lrm: 1.00 | dt: 861ms | tok/sec: 304,612 | mfu: 13.2% | epoch: 1 | remaining: 289s    
step 00024 (3.6%) | loss: 5.759979 | lrm: 1.00 | dt: 910ms | tok/sec: 288,168 | mfu: 12.5% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 5.711338 | lrm: 1.00 | dt: 990ms | tok/sec: 264,664 | mfu: 11.5% | epoch: 1 | remaining: 287s    
step 00026 (4.3%) | loss: 5.668855 | lrm: 1.00 | dt: 857ms | tok/sec: 305,934 | mfu: 13.3% | epoch: 1 | remaining: 286s    
step 00027 (4.6%) | loss: 5.629287 | lrm: 1.00 | dt: 778ms | tok/sec: 336,772 | mfu: 14.6% | epoch: 1 | remaining: 286s    
step 00028 (4.8%) | loss: 5.594760 | lrm: 1.00 | dt: 869ms | tok/sec: 301,615 | mfu: 13.1% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 5.558436 | lrm: 1.00 | dt: 918ms | tok/sec: 285,604 | mfu: 12.4% | epoch: 1 | remaining: 284s    
step 00030 (5.4%) | loss: 5.521475 | lrm: 1.00 | dt: 798ms | tok/sec: 328,305 | mfu: 14.2% | epoch: 1 | remaining: 283s    
